Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA NOVA BRASÍLIA DE COMUNICAÇÕES,RUA JOÃO DE CARVALHO,Imbituba,SC,( S ),28S132700/48W422700,252 / 98.30,ZYW508
ASSOCIAÇÃO RÁDIO COMUNITÁRIA IMBUIENSE - ARCI,RUA AVELINO LUDWIG,Imbuia,SC,( S ),27S292900/49W251900,200 / 87.90,ZYM607
ASSOCIACAO COMUNITARIA DE DIFUSAO CULTURAL DE INDAIAL,AVENIDA PRESIDENTE CASTELO BRANCO,Indaial,SC,( S ),26S533700/49W142100,252 / 98.30,ZYM544
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DOS AMIGOS DE IOMERÊ,RUA SÃO LUIZ GONZAGA,Iomerê,SC,,27S000900/51W142800,285 / 104.90,ZYW506
ASSOCIAÇÃO RÁDIO CULTURAL KANHRU - ARCK,CENTRO CULTURAL DE ALDEIA SEDE,Ipuaçu,SC,( S ),26S435700/52W272900,285 / 104.90,ZYW544
ASSOCIACAO COMUNITARIA RADIO FM PEQUENO VALE-FM PEQUENO VALE,"AVENIDA ASSIS BRASIL, 131",Ipumirim,SC,( S ),27S051500/52W082500,200 / 87.90,ZYM554
SOCIEDADE RADIO COMUNITARIA A VOZ DO CONTESTADO - FM,RUA GOVERNADOR IVO SILVEIRA S/N,Irani,SC,( S ),27S012900/51W540600,285 / 104.90,ZYM527
ASSOCIAÇÃO PAROQUIAL SENHOR BOM JESUS DE AMPARO SOCIAL E CRISTÃO,RUA PARANÁ,Irineópolis,SC,( S ),26S142400/50W480300,200 / 87.90,ZYM596
ASSOCIACAO CULTURAL FRANCISCO JOAO JULIO HALL,AV. TANCREDO NEVES; ESQ. C/RUA 4,Itá,SC,( S ),27S163000/52W204500,285 / 104.90,ZYU546
ASSOCIAÇÃO COMUNITÁRIA JOÃO KOMINEK,AVENIDA GETÚLIO VARGAS,Itaiópolis,SC,( S ),26S201100/49W541900,200 / 87.90,ZYM600
ABRIGO LUZ DO AMANHA,"RUA PEDRO CAMILO VICENTE, 48",Itajaí,SC,( S ),26S530500/48W412300,252 / 98.30,ZYM533
OSCONI - OBRAS SOCIAIS E CULTURAIS CONCEIÇÃO DE ITAJAÍ,RUA  JORGE MATTOS,Itajaí,SC,( S ),26S543800/48W394700,252 / 98.30,ZYD777
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DE ITAPEMA,RUA 206,Itapema,SC,( S ),27S070900/48W362900,252 / 98.30,ZYU517
ASSOCIAÇÃO RÁDIO COMUNITÁRIA DE ITAPIRANGA,RUA DOURADO,Itapiranga,SC,,27S093900/53W415100,198 / 87.50,ZYW537
ASSOCIACAO CULTURAL E COMUNITARIA DE ITAPOA,AVENIDA DO COMERCIO,Itapoá,SC,( S ),26S041900/48W363500,200 / 87.90,ZYD773
ASSOCIACAO RADIO COMUNITARIA JABORA,RUA PRIMEIRO DE MAIO,Jaborá,SC,( S ),27S103300/51W440100,285 / 104.90,ZYM518
ASSOCIAÇÃO DOS AMIGOS DA RÁDIO COMUNITÁRIA DE JACINTO MACHADO - SC,RUA IRMÃOS TREVISOL,Jacinto Machado,SC,( S ),28S595800/49W454400,200 / 87.90,ZYM589
ASSOCIACAO RADIODIFUSAO COMUNITARIA CIDADES DAS PRAIAS,,Jaguaruna,SC,( N ),,200 / 87.90,
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE JAGUARUNA,RUA NEREU RAMOS,Jaguaruna,SC,( S ),28S364600/49W012400,200 / 87.90,ZYM577
"ASSOCIAÇÃO DE RÁDIO COMUNITÁRIA ALTERNATIVA FM 107,1 MHz",RUA JOSÉ EMMENDOERFER,Jaraguá do Sul,SC,( S ),26S285100/49W053200,200 / 87.90,ZYM605
ASSOCIAÇÃO CULTURAL UNIÃO COMUNITÁRIA,RUA PAPA JOAO XXIII,Joinville,SC,( S ),26S163700/48W491900,200 / 87.90,ZYM604
"ASSOCIAÇÃO CULTURAL, EDUCACIONAL E RÁDIO COMUNITÁRIA DE PIRABEIRABA",RUA OLAVO BILAC,Joinville,SC,( S ),26S124100/48W543000,200 / 87.90,ZYM537
ASSOCIAÇÃO RÁDIO COMUNITÁRIA NOVA BRASÍLIA,RUA  THEODORO OSCAR BOHN,Joinville,SC,( S ),26S200400/48W520000,200 / 87.90,ZYU512
ASSOCIAÇÃO RÁDIO COMUNITÁRIA UNIÃO SUL,AVENIDA  PAULO SCHROEDER,Joinville,SC,( S ),26S215100/48W495300,200 / 87.90,ZYM529
ASSOCIAÇÃO CULTURAL DE RADIODIFUSÃO COMUNITÁRIA,RUA 15 DE NOVEMBRO,José Boiteux,SC,( S ),26S574100/49W373500,198 / 87.50,ZYM593
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA,AVENIDA  LUIS DE CAMOES,Lages,SC,( S ),27S475000/50W165900,200 / 87.90,ZYM578
ASSOCIACAO E MOVIMENTO COMUNITARIO RADIO PAZ SERRANA FM,AVENIDA ENGENHEIRO PAULO RIBEIRO - QUADRA 10,Lages,SC,( S ),27S493700/50W214300,200 / 87.90,ZYM538
ASSOCIAÇÃO CULTURAL COMUNITÁRIA DE COMUNICAÇÕES LAGUNENSE,AVENIDA COLOMBO MACHADO SALES,Laguna,SC,,28S284600/48W470400,200 / 87.90,ZYU520
ASSOCIAÇÃO COMUNITÁRIA PARA O DESENVOLVIMENTO DE LAURENTINO,RUA XV DE NOVEMBRO,Laurentino,SC,( S ),27S130900/49W441100,200 / 87.90,ZYW501
ASSOCIACAO COMUNITARIA CLUBE DO MACHADINHO DE RADIODIFUSAO,RODOVIA SC - 438,Lauro Muller,SC,( S ),28S233400/49W231800,252 / 98.30,ZYM522
ASSOCIACAO PELO DESENV.COM.DOS MEIOS DE COMUNIC.DE LEBON REG,"RUA WALDIR ORTIGARI, S/N",Lebon Régis,SC,( S ),26S560700/50W411700,285 / 104.90,ZYM550
ASSOCIAÇÃO DE RÁDIO COMUNITÁRIA - FM DE LINDÓIA DO SUL,RUA 29 DE JULHO,Lindóia do Sul,SC,( S ),27S030300/52W045100,200 / 87.90,ZYU547
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO NOVO HORIZONTE,RUA OSWALDO SCHROEDER,Lontras,SC,( S ),27S095900/49W322700,198 / 87.50,ZYU514
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA DA CIDADE DE LUZERNA - SC,RUA RUI BARBOSA,Luzerna,SC,( S ),27S074900/51W280400,285 / 104.90,ZYU542
ASSOCIAÇÃO BENEFICENTE CULTURAL UNIÃO COMUNITÁRIA DE MAFRA SANTA CATARINA,AV. FREDERICO HEYSE,Mafra,SC,( S ),26S065300/49W481900,200 / 87.90,ZYW500
ASSOCIAÇÃO MAJORENSE DE RÁDIO DIFUSÃO COMUNITÁRIA,RUA PEDRO GOMES,Major Gercino,SC,( S ),27S250300/48W570700,252 / 98.30,ZYU528
ASSOCIACAO CULTURAL E DE RADIODIFUSAO COMUNITARIA ALTERNATIVA DE MARAVILHA,,Maravilha,SC,( N ),,200 / 87.90,
ASSOCIAÇÃO RÁDIO COMUNITÁRIA ESPAÇO ABERTO DE MASSARANDUBA,RUA 25 DE JULHO,Massaranduba,SC,( S ),26S363500/49W003300,253 / 98.50,ZYM540
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE MELEIRO,RUA SETE DE SETEMBRO,Meleiro,SC,( S ),28S495400/49W374900,200 / 87.90,ZYM608
ASSOCIACAO COMUNITARIA E CULTURAL DE MIRIM DOCE,RUA MANOEL ALVES DA SILVA,Mirim Doce,SC,( S ),27S121000/50W034500,200 / 87.90,ZYM569
ASSOCIAÇÃO COMUNITÁRIA CULTURAL AMIGOS DE MONTE CARLO - ACCAMC,AVENIDA ENIO LOPES DE ALBUQUERQUE,Monte Carlo,SC,( S ),27S132300/50W583900,200 / 87.90,ZYM601
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL CASTELENSE DE MONTE CASTELO,RUA PAPA JOÃO XXIII,Monte Castelo,SC,( S ),26S273100/50W135700,200 / 87.90,ZYM602
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE ESTAÇÃO COCAL,RUA JOÃO ROCHI,Morro da Fumaça,SC,( S ),28S355400/49W144800,200 / 87.90,ZYW518
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE MORRO DA FUMAÇA - ARCOMF,RUA JOSÉ CECHINEL,Morro da Fumaça,SC,,28S391000/49W125000,200 / 87.90,ZYW533
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DE NAVEGANTES,RUA NEREU LIBERATO NUNES,Navegantes,SC,( S ),26S531300/48W391600,253 / 98.50,ZYU538
RÁDIO COMUNITÁRIA NOVA ERECHIM FM,RUA SERAFIM BEVILÁQUA,Nova Erechim,SC,( S ),26S540800/52W543800,254 / 98.70,ZYM531
RÁDIO COMUNITÁRIA NOVA ITABERABA FM,RUA ERNESTO PIAZZA,Nova Itaberaba,SC,( S ),26S560600/52W484800,285 / 104.90,ZYU513
ASSOCIACAO COMUNITARIA E CULTURAL DO MUNICIPIO DE NOVA VENEZA,,Nova Veneza,SC,( N ),,200 / 87.90,
ASSOCIACAO COMUNITARIA E CULTURAL DE NOVO HORIZONTE,,Novo Horizonte,SC,( N ),,285 / 104.90,
"ASSOCIACAO BENEFICENTE, CULTURAL E DE RADIO DIFUSAO COMUNITARIA DE ORLEANS - SC",,Orleans,SC,( N ),,198 / 87.50,
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO CULTURAL DE OTACÍLIO COSTA,RUA ALEXANDRE JOÃO DUARTE,Otacílio Costa,SC,( S ),27S303000/50W063700,200 / 87.90,ZYM525
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA PREFEITO LUIZ GONZAGA BONISSONI,RUA DO BOSQUE,Ouro,SC,( S ),27S202400/51W365200,285 / 104.90,ZYM579
ASSOCIACAO RADIO COMUNITARIA PINHEIRA,,Palhoça,SC,( N ),,252 / 98.30,
AÇÃO SOCIAL SÃO FRANCISCO DE ASSIS - ASFA,RUA JOÃO JOSÉ DA SILVA,Palhoça,SC,( S ),27S383300/48W400100,252 / 98.30,ZYM583
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE PALMA SOLA,RUA PEDRO MELO DOS SANTOS,Palma Sola,SC,( S ),26S205300/53W164400,290 / 105.90,ZYW516
ASSOCIAÇÃO DE COMUNICAÇÃO E CULTURA DE PALMEIRA,RUA LUCIDÓRIO COELHO DE SOUZA,Palmeira,SC,,27S344700/50W093600,200 / 87.90,ZYW519
ASSOCIAÇÃO BENEFICENTE CULTURAL E COMUNITÁRIA VALE DO URUGUAI - ACOVALE,RODOVIA SC 283,Palmitos,SC,( S ),27S040300/53W094000,254 / 98.70,ZYU506
CONSELHO COMUNITÁRIO DE PARAÍSO,RUA JOÃO QUIRINO DOS SANTOS,Paraíso,SC,( S ),26S371300/53W402600,290 / 105.90,ZYW528
ASSOCIAÇÃO COMUNITÁRIA DE ASSISTÊNCIA SOCIAL E EDUCACIONAL EBENEZER,RUA JOÃO DE SOUZA,Paulo Lopes,SC,( S ),27S575000/48W410400,252 / 98.30,ZYM591
ASSOCIAÇÃO DE RÁDIO DIFUSÃO COMUNITÁRIA EDUCATIVA DE PEDRAS GRANDES,RUA JOAQUIM VIEIRA FERREIRA,Pedras Grandes,SC,,28S261200/49W105900,200 / 87.90,ZYW524
ASSOCIAÇÃO CULTURAL DE PENHA,AV. EUGÊNIO KRAUSE,Penha,SC,( S ),26S462300/48W382900,253 / 98.50,ZYM595
ASSOCIAÇÃO CULTURAL AMIGOS DE PETROLÂNDIA,,Petrolândia,SC,( N ),,200 / 87.90,
RÁDIO COMUNITÁRIA PINHALZINHO FM,AVENIDA BRASILIA,Pinhalzinho,SC,( S ),26S510400/52W591600,285 / 104.90,ZYM555
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL AMIGOS DE PIRATUBA,AVENIDA 18 DE FEVEREIRO,Piratuba,SC,( S ),27S251100/51W462000,285 / 104.90,ZYM610
ASSOCIAÇÃO PORTAL RÁDIO FM COMUNITÁRIA,RUA LUIZ ABRY,Pomerode,SC,( S ),26S440000/49W103600,252 / 98.30,ZYU522
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL INTEGRAÇÃO FM,RUA FREI ROGÉRIO,Ponte Alta,SC,( S ),27S292300/50W225000,200 / 87.90,ZYU515
"ASSOCIAÇÃO COMUNITÁRIA DA PONTE PARA O DESENVOLVIMENTO SOCIAL, CULTURAL E ARTÍSTICO",AVENIDA XV DE NOVEMBRO,Ponte Serrada,SC,( S ),26S521300/52W010300,285 / 104.90,ZYM571
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA AMIGOS DE PORTO BELO - SC,RUA MANOEL FELIPE DA SILVA NETO,Porto Belo,SC,( S ),27S092000/48W323700,252 / 98.30,ZYM612
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL PORTO UNIÃO,RUA PADRE ANCHIETA,Porto União,SC,( S ),26S140600/51W050200,200 / 87.90,ZYM594
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA DE POUSO REDONDO,RUA JOÃO CUSTÓDIO DA LUZ,Pouso Redondo,SC,( S ),27S154400/49W554200,198 / 87.50,ZYU549
ASSOCIAÇÃO CULTURAL RÁDIO COMUNITÁRIA FM DE QUILOMBO,AVENIDA CORONEL BERTAZO,Quilombo,SC,( S ),26S425500/52W421500,200 / 87.90,ZYU507
FUNDAÇÃO CULTURAL E EDUCACIONAL PADRE HERMENEGILDO BORTOLATTO,TRAVESSA IRMÃ MARIA HILÁRIA,Rio das Antas,SC,( S ),26S535400/51W042900,285 / 104.90,ZYM572
ASSOCIAÇÃO DE COMUNICAÇÃO E CULTURA DE RIO DO OESTE,RUA 7 DE SETEMBRO,Rio do Oeste,SC,( S ),27S114100/49W472900,198 / 87.50,ZYW522
ASSOCIAÇÃO RIOSULENSE DE CULTURA E RADIODIFUSÃO COMUNITÁRIA JOVEM RIO,RUA DURVAL VICTOR DE ANDRADE,Rio do Sul,SC,,27S120600/49W365700,200 / 87.90,ZYW543
ASSOCIAÇÃO BENEFICENTE DE RADIODIFUSÃO COMUNITÁRIA FLORESTA,AVENIDA SETE DE  SETEMBRO,Rio Fortuna,SC,,28S082600/49W065300,198 / 87.50,ZYW517
ASSOCIAÇÃO BENEFICENTE CULTURAL RUSCZAK,,Rio Negrinho,SC,( N ),,200 / 87.90,
ASSOCIAÇÃO RÁDIO COMUNITÁRIA TRENTINA,RUA BARÃO DO RIO BRANCO,Rodeio,SC,( S ),26S551300/49W215600,252 / 98.30,ZYM614
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE SALETE/SC,RUA DO SANTUÁRIO,Salete,SC,,26S585400/49W591500,200 / 87.90,ZYW505
ASSOCIACAO CULTURAL SALTO VELOSO,"AVENIDA PIO XII, 211",Salto Veloso,SC,( S ),26S541600/51W242200,285 / 104.90,ZYM535
ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DE SANGAO,,Sangão,SC,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE SANTA CECÍLIA,RUA CABO JOÃO MARIA TEIXEIRA PALHANO,Santa Cecília,SC,( S ),26S575700/50W250600,285 / 104.90,ZYU523
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO AMIGOS DA POPULAÇÃO,RUA HENRIQUE HEIDEMANN,Santa Rosa de Lima,SC,( S ),28S021000/49W072500,198 / 87.50,ZYW509
ASSOCIACAO COMUNITARIA EDUCATIVA DE RADIODIFUSAO CIDADE SUL DE SANTA ROSA DO SUL - SC,,Santa Rosa do Sul,SC,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE SANTA TEREZINHA,,Santa Terezinha,SC,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO CULTURAL E ARTÍSTICO SANTIAGO,RUA ANGELO LUNARDO;,Santiago do Sul,SC,( S ),26S380700/52W403600,285 / 104.90,ZYW526
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA VALE DAS TERMAS,RUA PREFEITO JOSÉ KEHRING,Santo Amaro da Imperatriz,SC,,27S411400/48W463600,252 / 98.30,ZYM580
ASSOCIAÇÃO BENEFICENTE E CULTURAL COMUNITÁRIA RÁDIO LIBERDADE FM,RUA ESTEVÃO BUSCHLE,São Bento do Sul,SC,( S ),26S145100/49W225300,200 / 87.90,ZYM597
ASSOCIACAO COMUNITARIA ROTA DAS TERMAS,,São Carlos,SC,( N ),,285 / 104.90,
ASSOCIACAO COMUNITARIA PRO-CULTURA E COMUNICACAO DE SAO DOMINGOS,,São Domingos,SC,( N ),,285 / 104.90,
ASSOCIACAO COMUNITARIA BETEL FM,"RUA BARAO DO RIO BRANCO, 528",São Francisco do Sul,SC,( S ),26S144800/48W380300,200 / 87.90,ZYM549
ASSOCIAÇÃO DOS MORADORES AMIGOS DA RADIODIFUSÃO E CULTURA,RUA LEOPOLDINA BRASIL,São João Batista,SC,,27S162700/48W502400,252 / 98.30,ZYV203
ASSOCIACAO RADIO CULTURA COMUNITARIA FM DE SAO JOAO DO OESTE,,São João do Oeste,SC,( N ),,200 / 87.90,
ASSOCIAÇÃO CULTURAL DE DIFUSÃO COMUNITÁRIA,,São João do Sul,SC,( N ),,200 / 87.90,
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DE SÃO JOÃO DO SUL - SC,RUA AMANDIO MANOEL DE SOUZA,São João do Sul,SC,,29S132800/49W482100,200 / 87.90,ZYW547
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA SÃO JOAQUIM,RUA EGÍDIO MARTORANO,São Joaquim,SC,( S ),28S172400/49W560800,198 / 87.50,ZYU516
ASSOCIAÇÃO DE PAIS E PROFESSORES,"RUA ADULCE ARBOEIS DO NASCIMENTO, S/N",São José,SC,( S ),27S342600/48W382200,252 / 98.30,ZYM539
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA DE SÃO JOSÉ DO CERRITO,RUA VIDAL GREGÓRIO PEREIRA,São José do Cerrito,SC,( S ),27S394700/50W344800,200 / 87.90,ZYM584
ASSOCIACAO COMUNITARIA E CULTURAL SAO LOURENCO,,São Lourenço do Oeste,SC,( N ),,285 / 104.90,
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA VOZ LIVRE,RUA IRMÃ THIOFFNA,São Ludgero,SC,,28S195500/49W105300,198 / 87.50,ZYW511
ASSOCIAÇÃO RÁDIO COMUNITÁRIA DE SÃO MARTINHO,RUA PRAIA REDONDA,São Martinho,SC,,28S100100/48W582300,252 / 98.30,ZYW538
ASSOCIAÇÃO RÁDIO CULTURA COMUNITÁRIA FM DE SÃO MIGUEL DO OESTE,RUA SANTOS DUMONT,São Miguel do Oeste,SC,( S ),26S433800/53W311800,290 / 105.90,ZYU504
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO CULTURAL E ARTÍSTICO DE SAUDADES,RUA JOÃO ROOS,Saudades,SC,( S ),26S552200/53W000100,285 / 104.90,ZYM603
ASSOCIAÇÃO RÁDIO COMUNITÁRIA SCHROEDER STRASSE FM,RUA MARECHAL CASTELO BRANCO,Schroeder,SC,( S ),26S242900/49W044100,198 / 87.50,ZYW510
ASSOCIACAO COMUNITARIA E CULTURAL DE SEARA,,Seara,SC,( N ),,285 / 104.90,
ASSOCIACAO COMUNITARIA DE COMUNICACAO E CULTURA DE SERRA ALTA,,Serra Alta,SC,( N ),,290 / 105.90,
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE SOMBRIO,RUA CAETANO LUMERTZ,Sombrio,SC,( S ),29S065600/49W380000,200 / 87.90,ZYM573
ASSOCIAÇÃO TAIOENSE DE CULTURA E RADIODIFUSÃO COMUNITÁRIA,RUA DO SEMINARIO,Taió,SC,( S ),27S070600/50W010900,200 / 87.90,ZYD776
ASSOCIAÇÃO CULTURAL COMUNITÁRIA AMIGOS DE TANGARÁ (ACCAT),RUA PORTO ALEGRE,Tangará,SC,,27S055700/51W144300,285 / 104.90,ZYU532
"ASSOCIAÇÃO CULTURAL, COMUNITÁRIA E RADIODIFUSÃO DE TIJUCAS-SC-ACCRT, BAIRROS JOÁIA,XV DE NOVEMBRO, CENTRO AREIAS E PRAÇA",RUA ATÍLIO CAMPOS FILHO,Tijucas,SC,( S ),27S143400/48W381000,252 / 98.30,ZYM548
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA FREI MODESTO DE TIMBÉ DO SUL,PRACA MUNICIPAL,Timbé do Sul,SC,( S ),28S495600/49W504900,200 / 87.90,ZYU534
ASSOCIAÇÃO COMUNITÁRIA DE DIFUSÃO CULTURAL DE TIMBÓ,RUA GENERAL OSÓRIO,Timbó,SC,( S ),26S493200/49W160000,252 / 98.30,ZYM590
ASSOCIAÇÃO COMUNITÁRIA CULTURAL PELA DEMOCRATIZAÇÃO DOS MEIOS DE COMUNICAÇÃO DO CONTESTADO,RUA GERMANO ALVES DE ALMEIDA,Timbó Grande,SC,( S ),26S365900/50W403200,285 / 104.90,ZYM574
ASSOCIACAO DE COMUNICACAO E CULTURA DE TREVISO,,Treviso,SC,( N ),,200 / 87.90,
ASSOCIAÇÃO CULTURAL E COMUNITÁRIA AMIGOS DE TREZE TÍLIAS - SC,RUA JOSÉ BONIFÁCIO,Treze Tílias,SC,( S ),26S593000/51W240500,285 / 104.90,ZYD779
ASSOCIAÇÃO TUBARONENSE DE DIFUSÃO COMUNITÁRIA,PRAÇA LUIS PEDRO DE MEDEIROS,Tubarão,SC,( S ),28S291600/49W010800,200 / 87.90,ZYM516
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO DE TUNÁPOLIS,RUA ALBINO FRANTZ,Tunápolis,SC,( S ),26S581800/53W380200,200 / 87.90,ZYW529
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA ALTERNATIVA,AVENIDA ADOLFO KONDER,Urubici,SC,( S ),28S002300/49W352200,200 / 87.90,ZYU503
ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DE URUSSANGA,"RUA DA CRIANCA, S/N - ANEXO ORFANATO PARAISO DA CR",Urussanga,SC,( S ),28S305600/49W190600,200 / 87.90,ZYM517
ACAVI - ASSOCIAÇÃO CULTURAL COMUNITÁRIA AMIGOS DE VIDEIRA,RUA BULCÃO VIANA,Videira,SC,( S ),27S003400/51W100100,285 / 104.90,ZYU525
ASSOCIAÇÃO MEIRELENSE DE CULTURA E RADIODIFUSÃO COMUNITARIA,RUA JOÃO DAROLT,Vitor Meireles,SC,,26S525000/49W495900,200 / 87.90,ZYU535
ASSOCIAÇÃO WITMARSUENSE DE CULTURA E RADIOFUSÃO COMUNITÁRIA,RUA 07 DE SETEMBRO,Witmarsum,SC,( S ),26S553200/49W472900,198 / 87.50,ZYW540
ASSOCIAÇÃO CULTURAL E BENEFICENTE DE XANXERÊ-SC,RUA JACOB SIRENA,Xanxerê,SC,,26S525600/52W251600,285 / 104.90,ZYW542
ASSOCIACAO COMUNITARIA E CULTURAL DE XAVANTINA,,Xavantina,SC,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO XAXINENSE,RUA SILVIO LUNARDI,Xaxim,SC,,26S574100/52W320100,285 / 104.90,ZYV200
ASSOCIAÇÃO DE DIFUSÃO COMUNITÁRIA DE CAMPOS VERDES,RUA ANTONIO ZORTEA PRIMO,Zortéa,SC,( S ),27S270300/51W331800,285 / 104.90,ZYM586
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO E CULTURA DE AQUIDABÃ - ACCCA,AVENIDA PARAGUAI,Aquidabã,SE,( S ),10S172200/37W011600,285 / 104.90,ZYM626
ASSOCIACAO DE RADIOD.COMUNT.BEM AVENTURADO JOSE DE ANCHIETA,"RUA MANOEL EUCLIDES DE OLIVEIRA, S/N",Aracaju,SE,( S ),10S581600/37W040100,290 / 105.90,ZYD799
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DO GRAGERU,RUA  MANOEL ESPIRITO SANTO,Aracaju,SE,( S ),10S560500/37W033200,290 / 105.90,ZYM630
CENTRO COMUNITÁRIO SÓCIO CULTURAL DE BARRA DOS COQUEIROS,RUA CARLOS GOMES,Barra dos Coqueiros,SE,( S ),10S543900/37W021500,200 / 87.90,ZYM621
ASSOCIACAO COMUNITARIA SOCIO-CULTURAL HERMES FONTES,"PRACA DESEMBARGADOR RINALDO COSTA E SILVA, 27",Boquim,SE,( S ),11S084400/37W370800,285 / 104.90,ZYD798
ASSOCIAÇÃO COMUNITÁRIA NOSSA SENHORA DA CONCEIÇÃO,RUA DOMINGOS ALVES FEITOSA,Canindé de São Francisco,SE,( S ),09S395300/37W472200,285 / 104.90,ZYM622
ASSOCIAÇÃO COMUNITÁRIA SÓCIO-CULTURAL MAR AZUL,PRAÇA BARÃO DO RIO BRANCO,Estância,SE,( S ),11S160500/37W261900,285 / 104.90,ZYM625
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DA CIDADE DE FEIRA NOVA SERGIPE,RUA ANTONIO ALVES DA MOTA,Feira Nova,SE,,10S155000/37W183400,285 / 104.90,ZYM637
ASSOCIAÇÃO DE RADIODIFUSÃO E AMIGOS DO CAMINHOEIRO ITABAIANENSE,,Itabaiana,SE,( N ),,200 / 87.90,
ASSOCIACAO DOS(AS) COSTUREIROS(AS) DO MUNICIPIO DE ITABAIANINHA,,Itabaianinha,SE,( N ),,285 / 104.90,
CLUBE DE MÃES NOSSA SENHORA DA CONCEIÇÃO DA CIDADE DE ITABI,PRAÇA SÃO JOÃO,Itabi,SE,( S ),10S073000/37W060200,285 / 104.90,ZYM624
ASSOCIACAO CULTURAL E COMUNITARIA DO POVOADO CAUEIRA,,Itaporanga d'Ajuda,SE,( N ),,290 / 105.90,
ASSOCIACÃO COMUNITÁRIA PADRE NESTOR,RUA GETULIO VARGAS;,Japoatã,SE,( S ),10S205100/36W480200,285 / 104.90,ZYM620
ASSOCIACAO BENEFICENTE SOCIO CULTURAL DA CIDADE DE LAGARTO - LAGARTO FM,,Lagarto,SE,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DO POVOADO JENIPAPO - LAGARTO/SERGIPE,PRAÇA SÃO JOSÉ,Lagarto,SE,( S ),10S525300/37W304700,285 / 104.90,ZYM636
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA LAGARTENSE,RUA LUPICÍNIO BARROS,Lagarto,SE,( S ),10S545500/37W401700,285 / 104.90,ZYM635
ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DE MALHADA DOS BOIS - ARACOMB,,Malhada dos Bois,SE,( N ),,285 / 104.90,
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DA CIDADE DE MOITA BONITA/SERGIPE,AVENIDA MANOEL BARRETO,Moita Bonita,SE,,10S344400/37W202900,285 / 104.90,ZYM638
APROBESNE - ASSOCIAÇÃO DE PROMOÇÃO E BEM ESTAR SOCIAL DE NEÓPOLIS,RUA VIRGÍLIO BISPO DOS SANTOS,Neópolis,SE,( S ),10S193000/36W351000,285 / 104.90,ZYM627
ASSOCIAÇÃO DOS MORADORES DA BARRA DO BOI,AVENIDA 26 DE SETEMBRO,Nossa Senhora da Glória,SE,( S ),10S124400/37W245600,285 / 104.90,ZYM619
